,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
0,1,CSO AIMS Villages (ACSOR),QLT-113,,0,ZBL-QLT-113,0,Pashto,2,1716.0720210000002,32.25638,66.71265,ZBL,QLT,Enjergay,2401,Qalat,????,Zabul,????,24
31,32,CSO AIMS Villages (ACSOR),QLT-156,,0,ZBL-QLT-156,733,Pashto,2,1598.6560060000002,32.0893,66.79675,ZBL,QLT,Naw Khiz,2401,Qalat,????,Zabul,????,24
32,33,CSO AIMS Villages (ACSOR),QLT-150,,0,ZBL-QLT-150,1029,Pashto,2,1611.3530269999999,32.113009999999996,66.90993,ZBL,QLT,Hazari,2401,Qalat,????,Zabul,????,24
33,34,CSO AIMS Villages (ACSOR),QLT-114,,0,ZBL-QLT-114,0,Pashto,2,1572.8320310000001,32.1217,66.92344,ZBL,QLT,Gabro,2401,Qalat,????,Zabul,????,24
34,35,CSO AIMS Villages (ACSOR),QLT-153,,0,ZBL-QLT-153,162,Pashto,2,1559.866943,32.10196,66.91079,ZBL,QLT,Mohammad Tahir,2401,Qalat,????,Zabul,????,24
1369,1370,USAID AIDVillageView,SMZ-040,,0,ZBL-SMZ-040,0,Pashto,2,2219.7971190000003,31.9931,68.0627,ZBL,SMZ,Shadak Kalay,2410,Shomulzay,???????,Zabul,????,24
3130,3131,CSO AIMS Villages (ACSOR),ATR-082,,0,ZBL-ATR-082,0,Other,9,1873.9010010000002,31.648390000000003,67.46089,ZBL,ATR,Sikhor,2409,Atghar,????,Zabul,????,24
3166,3167,Yale POP_MASTER,SMZ-081,,0,ZBL-SMZ-081,86,Other,9,1948.9659420000003,31.5281,67.4722,ZBL,SMZ,Alam Kalay Kuza Bila,2410,Shomulzay,???????,Zabul,????,24
3167,3168,Yale POP_MASTER,SMZ-091,,0,ZBL-SMZ-091,136,Other,9,1947.564941,31.5653,67.4374,ZBL,SMZ,Bakirzay China,2410,Shomulzay,???????,Zabul,????,24
3168,3169,Yale POP_MASTER,SMZ-097,,0,ZBL-SMZ-097,546,Other,9,2013.189941,31.555999999999997,67.6094,ZBL,SMZ,Burj Jangi,2410,Shomulzay,???????,Zabul,????,24
3169,3170,Yale POP_MASTER,SMZ-099,,0,ZBL-SMZ-099,60,Other,9,2126.979004,31.6482,67.5801,ZBL,SMZ,Changi Imargay,2410,Shomulzay,???????,Zabul,????,24
3170,3171,Yale POP_MASTER,SMZ-113,,0,ZBL-SMZ-113,387,Other,9,2076.320068,31.5877,67.5431,ZBL,SMZ,Faqir Sarkay Mangu,2410,Shomulzay,???????,Zabul,????,24
3171,3172,Yale POP_MASTER,SMZ-116,,0,ZBL-SMZ-116,191,Other,9,1925.41394,31.6364,67.4571,ZBL,SMZ,Gardaw,2410,Shomulzay,???????,Zabul,????,24
3172,3173,Yale POP_MASTER,SMZ-140,,0,ZBL-SMZ-140,35,Other,9,2168.144043,31.6095,67.5875,ZBL,SMZ,Iraqi Kandil,2410,Shomulzay,???????,Zabul,????,24
